External ID,Name,Cost,Sales Price,Barcode,Visible on current website,Image Url
,Prince Cookies.Sweet Biscuit 250 gm,40,50,802565000079,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.1_Prince_Cookies_Sweet_Biscuit_250gm.jpg
,Prince cookies.Sweet Biscuit 130 gm,20,25,802565000080,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.2_Prince_cookies_Sweet_Biscuit_130gm.jpg
,Prince Salty Biscuit 250 gm,40,50,802565000081,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.3_Prince_Salty_Biscuit_250gm.jpg
,Prince Salty Biscuit 130 gm,20,25,802565000082,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.4_Prince_Salty_Biscuit_130gm.jpg
,Prince Timepass Biscuit 480gm,84,100,802565000083,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.5_Prince_Timepass_Biscuit_480gm.jpg
,Prince Timepass Biscuit 240gm,46,55,802565000084,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.6_Prince_Timepass_Biscuit_240gm.jpg
,Prince Timepass (Mini) Vanilla 20gm,3,4,802565000085,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.7_Prince_Timepass_Mini_Vanilla_20gm.jpg
,Prince Timepass (Mini) Choco 20gm,3,4,802565000086,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/19.8_Prince_Timepass_Mini_Choco_20gm.jpg
,Prince Orange Drinks  180 ml,8,10,802565000087,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/20.1_Prince_Orange_Drinks_180ml.jpg
,Prince Litchi Drinks 180 ml,8,10,802565000088,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/20.2_Prince_Litchi_Drinks_180ml.jpg
